GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",58833731,62813622,66593690,69012573,70951399,73789791,77614608,81596006,85006063,88929188,91478303,88625686,91667093,94649662,98028826,99076070,102373776,107329898,109530226,112531216,116654718,121152516,122261223,131546053
 "21000","Kentucky",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",48094952,51148699,53945947,55555240,56651182,58474169,61400386,64085242,67308349,70581912,72352553,70414312,71874890,74532399,77058334,78279762,81481523,85378945,87832164,90544014,93349158,96703654,97203373,104637093
 "21000","Kentucky",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",10738779,11664923,12647743,13457333,14300217,15315622,16214222,17510764,17697714,18347276,19125750,18211374,19792203,20117263,20970492,20796308,20892253,21950953,21698062,21987202,23305560,24448862,25057850,26908960
 "21000","Kentucky",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",6867667,7512869,8422038,9179774,9881948,10794430,11523528,12621230,12610752,13059837,13620228,12758805,14124939,14269621,14895619,14631570,14467817,15227990,14877345,15080742,16294346,17194330,17582601,19005521
 "21000","Kentucky",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",3871112,4152054,4225705,4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6424436,6722963,6820717,6906460,7011214,7254532,7475249,7903439
 "21000","Kentucky",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32041,33472,34868,36616,38046,39558,41259,42840,44030,45568,47063,47590,49167,50223,51358,51520,52530,54241,54848,55954,57592,59411,63293,65915
 "21000","Kentucky",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",215564,230721,216535,264821,326326,356544,346859,276541,302218,355461,337660,319866,303604,259071,365022,369391,375012,330611,367874,372424,342332,280593,297864,287260
 "21000","Kentucky",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",58618167,62582901,66377155,68747752,70625073,73433247,77267749,81319465,84703845,88573727,91140643,88305820,91363489,94390591,97663804,98706679,101998764,106999287,109162352,112158792,116312386,120871923,121963359,131258793
 "21000","Kentucky",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",47461234,50651346,53783263,55321567,56449767,58446727,61477305,64176777,66238622,69080538,70174925,67431679,68683627,71724915,75110909,75942269,79469500,84090485,86762334,89804193,93194585,97316945,97908411,106198787
 "21000","Kentucky",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",174944,188836,210941,200478,192269,196104,219444,211065,238549,233374,241416,250000,244232,240918,252853,251338,265589,284629,297394,301347,316542,341999,389655,372404
 "21000","Kentucky",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",16129,16038,18513,(D),(D),(D),(D),(D),12399,12552,(D),(D),(D),(D),(D),7200,(D),7412,(D),7488,8164,8659,10444,11486
 "21000","Kentucky",5,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),522,643,(D),(D),(D),(D),(D),665,(D),954,(D),803,1216,1507,1956,1933
 "21000","Kentucky",5,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",155392,169257,187974,181862,176793,182785,202513,197201,225628,220179,230474,240988,235051,232226,244059,243473,257647,276263,289032,293056,307162,331833,377255,358985
 "21000","Kentucky",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1081465,1025696,970172,1107818,1072407,1064372,1164388,1330176,1538104,1493216,1768968,1770227,1767092,1872519,1654380,1419104,1338979,1147250,835091,872931,902175,868176,627028,671256
 "21000","Kentucky",5,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",23626,29444,39267,46620,39289,39482,50594,59514,69193,68026,81222,77741,68649,69248,64408,59792,59868,59707,49388,46032,49477,46054,35045,37452
 "21000","Kentucky",5,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1012113,956956,892513,1017541,979321,960869,1035551,1168482,1342265,1281785,1514498,1511083,1514288,1599176,1380136,1156183,1060574,906426,664192,698602,734681,692393,493374,532349
 "21000","Kentucky",5,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",45726,39296,38392,43657,53797,64021,78243,102180,126646,143405,173248,181403,184155,204095,209836,203129,218537,181117,121511,128297,118017,129729,98609,101455
 "21000","Kentucky",5,SAINC6N,300,"22","   Utilities ","Thousands of dollars",513584,496191,569584,604424,546549,513154,530907,545253,596473,598440,613238,638694,645329,691624,673355,696592,735826,750687,794698,791600,841154,883865,961104,979928
 "21000","Kentucky",5,SAINC6N,400,"23","   Construction ","Thousands of dollars",2968017,3294142,3467719,3616729,3501976,3641303,3687405,3837717,3869028,4184232,4412314,4015604,3716121,3714920,3869476,4003672,4517462,4863794,4905863,5075910,5171667,5574789,5660002,5873139
 "21000","Kentucky",5,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",728725,791872,814390,832758,802774,870933,879572,902455,923865,1005585,983289,873573,805156,760785,793898,881141,1010456,1088572,1067987,1125969,1142723,1167285,1205981,1275939
 "21000","Kentucky",5,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",498213,563092,594275,644253,615796,658335,666543,702618,674585,793222,856128,911837,809617,783048,853864,892125,946968,971876,906712,861964,901900,1002049,1026744,1058075
 "21000","Kentucky",5,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",1741079,1939178,2059054,2139718,2083406,2112035,2141290,2232644,2270578,2385425,2572897,2230194,2101348,2171087,2221714,2230406,2560038,2803346,2931164,3087977,3127044,3405455,3427277,3539125
